cluster,center_lon,center_lat
0,983985.2169266763,199264.97273005516
1,995995.469145039,220728.46204747152
2,1042052.6623622559,174039.33390266955
3,986065.7308708715,208843.35769967778
4,1019736.8672347236,221093.39101656797
5,990030.9313448386,214982.94626109462
6,996583.4002136043,232050.48735667544
7,990508.7878106659,223940.46790448728
